Year,Department,Job Title,Compensation_mean,NumberOfPeople
2012,ITS - Information & Technology Service,Assistant Director,72517.31,1
2012,ITS - Information & Technology Service,Director,79931.46,1
2012,ITS - Information & Technology Service,GIS Manager,63238.82,1
2012,ITS - Information & Technology Service,GIS Specialist,41665.73,2
2012,ITS - Information & Technology Service,Intern,4255.69,3
2012,ITS - Information & Technology Service,Office Coord/Inventory Speclst,44862.89,1
2012,ITS - Information & Technology Service,Systems & App Manager,64138.17,1
2012,ITS - Information & Technology Service,Systems Administrator,54589.46,1
2012,ITS - Information & Technology Service,Technology Support Manager,58526.58,1
2012,ITS - Information & Technology Service,Technology Support Specialist,42310.7,4
2012,ITS - Information & Technology Service,Training Manager,41479.21,1
2012,ITS - Information & Technology Service,User Interface Specialist,42242.82,1
2012,ITS - Information & Technology Service,Web App Developer,61922.72,1
2012,Legal - Legal,Assistant City Attorney,43530.27,3
2012,Legal - Legal,City Attorney,78132.76,1
2012,Legal - Legal,Corporation Counsel,87832.96,1
2012,Legal - Legal,Human Rights Director/Attorney,72670.92,1
2012,Legal - Legal,Legal Secretary/Paralegal,40843.13,1
2012,Legal - Legal,Secretary - Human Rights & Legal,37819.03,1
2012,OOTM - Office of the Mayor,Assistant Deputy Mayor,32374.43,1
2012,OOTM - Office of the Mayor,Communications Director,56045.68,1
2012,OOTM - Office of the Mayor,Deputy Mayor,87772.41,1
2012,OOTM - Office of the Mayor,Executive Assistant,43659.29,1
2012,OOTM - Office of the Mayor,Intern,1432.91,8
2012,OOTM - Office of the Mayor,Mayor,95464.2,1
2012,PW - Public Works,Accounting Clerk,32958.22,1
2012,PW - Public Works,Administrative Assistant,16326.0,1
2012,PW - Public Works,Assistant Director,72559.91,1
2012,PW - Public Works,Deputy Director,52737.17,1
2012,PW - Public Works,Director,85020.32,1
2012,PW - Public Works,Intern,982.5,1
2012,PW - Public Works,Office Manager/Service Coord,42230.96,1
2012,PW - Public Works,Public Works Board Member,2091.96,3
2012,PW - Public Works,Special Projects Manager,52052.02,1
2012,Parking - Parking Enforcement,Account Clerk,34698.14,3
2012,Parking - Parking Enforcement,Crossing Guard,3215.29,21
2012,Parking - Parking Enforcement,Parking Enforcement Manager,52534.57,1
2012,Parking - Parking Enforcement,Parking Enforcement Officer,28362.58,12
2012,Parking - Parking Enforcement,Specialist,6224.5,2
2012,Parks - Parks & Recreation,Administrator,86906.83,1
2012,Parks - Parks & Recreation,Adult/Family Services Manager,48928.86,1
2012,Parks - Parks & Recreation,Adult/Youth Sports Manager,54215.24,1
2012,Parks - Parks & Recreation,Aquatics/Sports Program Coord,47370.35,1
2012,Parks - Parks & Recreation,Attendant,1892.2,75
2012,Parks - Parks & Recreation,Bookkeeper,38325.0,1
2012,Parks - Parks & Recreation,City Landscaper/Sexton,43984.76,1
2012,Parks - Parks & Recreation,Community Events Manager,52841.48,1
2012,Parks - Parks & Recreation,Community Relations Manager,49455.12,1
2012,Parks - Parks & Recreation,Community Relations Specialist,33143.9,1
2012,Parks - Parks & Recreation,Crew Leader,42151.4,1
2012,Parks - Parks & Recreation,Custodian,38708.01,1
2012,Parks - Parks & Recreation,Customer Service Rep II,21664.24,2
2012,Parks - Parks & Recreation,Customer Service Rep III,34447.5,1
2012,Parks - Parks & Recreation,Equipment Maintenance Mechanic,40055.04,2
2012,Parks - Parks & Recreation,Ex-Employee Paid out in 2012,6765.09,1
2012,Parks - Parks & Recreation,Golf Course Superintendent,49024.97,1
2012,Parks - Parks & Recreation,Golf Facilities Manager,49721.0,1
2012,Parks - Parks & Recreation,Golf Programs Coordinator,35754.49,1
2012,Parks - Parks & Recreation,Health/Wellness Coordinator,40426.39,1
2012,Parks - Parks & Recreation,Inclusive Recreation Coordinator,41895.93,1
2012,Parks - Parks & Recreation,Instructor,270.22,3
2012,Parks - Parks & Recreation,Intern,1500.0,1
2012,Parks - Parks & Recreation,Laborer,11764.32,32
2012,Parks - Parks & Recreation,Leader,2673.25,51
2012,Parks - Parks & Recreation,Lifeguard,1995.24,46
2012,Parks - Parks & Recreation,Manager,962.2,1
2012,Parks - Parks & Recreation,Master Motor Equipment Operator,39064.82,3
2012,Parks - Parks & Recreation,Membership Coordinator,18399.92,2
2012,Parks - Parks & Recreation,Natural Resources Coordinator,39394.8,1
2012,Parks - Parks & Recreation,Natural Resources Manager,48915.22,1
2012,Parks - Parks & Recreation,Office Manager,40777.42,1
2012,Parks - Parks & Recreation,Operations & Dev Director,70850.27,1
2012,Parks - Parks & Recreation,Operations Office Coordinator,41158.85,1
2012,Parks - Parks & Recreation,Operations Superintendent,51766.93,1
2012,Parks - Parks & Recreation,Program Specialist,28273.8,4
2012,Parks - Parks & Recreation,Program/Facility Coordinator,39246.87,5
2012,Parks - Parks & Recreation,Recreation Services Director,61944.79,1
2012,Parks - Parks & Recreation,Special Services Coordinator,44374.12,1
2012,Parks - Parks & Recreation,Specialist,2840.39,70
2012,Parks - Parks & Recreation,Sports Coordinator,48700.89,1
2012,Parks - Parks & Recreation,Sports Facility Manager,46655.94,1
2012,Parks - Parks & Recreation,Sports Services Director,60606.68,1
2012,Parks - Parks & Recreation,Staff Assistant,7112.16,26
2012,Parks - Parks & Recreation,Supervisor,5690.92,46
2012,Parks - Parks & Recreation,Urban Forester,54026.18,1
2012,Parks - Parks & Recreation,Working Foreman,42757.24,5
2012,Parks - Parks & Recreation,Youth Sports Coord/FSC Asst Mgr,28261.91,1
2012,Plan - Planning,Assistant Director,67253.09,1
2012,Plan - Planning,Bicycle & Pedestrain Coordinator,39675.12,1
2012,Plan - Planning,Development Review Manager,61120.55,1
2012,Plan - Planning,Director,83221.65,1
2012,Plan - Planning,Intern,2141.67,3
2012,Plan - Planning,Long Range/Transportation Mgr,61673.11,1
2012,Plan - Planning,Office Manager,38710.74,1
2012,Plan - Planning,Planning Assistant,34147.58,1
2012,Plan - Planning,Senior Environmental Planner,47884.15,1
2012,Plan - Planning,Senior Long Range Planner,48827.37,1
2012,Plan - Planning,Senior Transportation Planner,14891.9,2
2012,Plan - Planning,Senior Zoning Planner,52359.15,1
2012,Plan - Planning,Zoning & Enforcement Mgr,61813.08,1
2012,Plan - Planning,Zoning & Long Range Planner,39675.12,1
2012,Plan - Planning,Zoning Compliance Planner,39651.47,1
2012,Plan - Planning,Zoning Planner,40097.22,1
2012,Pol - Police,CAD/RMS Data Coordinator,48240.96,1
2012,Pol - Police,Captain,67638.12,2
2012,Pol - Police,Chief,86337.83,1
2012,Pol - Police,Crime Scene Tech & Prop Mgr,49196.1,2
2012,Pol - Police,Custodian,30895.37,1
2012,Pol - Police,Deputy Chief,67194.79,1
2012,Pol - Police,Executive Assistant,47104.53,1
2012,Pol - Police,Front Desk Clerk I,33699.47,1
2012,Pol - Police,Front Desk Clerk II,31420.83,1
2012,Pol - Police,Intern,3363.14,2
2012,Pol - Police,Lieutenant,62515.71,5
2012,Pol - Police,Office Manager,36147.5,1
2012,Pol - Police,Officer First Class,53384.48,32
2012,Pol - Police,Probationary Police Officer,18201.06,4
2012,Pol - Police,Records Clerk,35739.95,12
2012,Pol - Police,Records Supervisor,52405.96,1
2012,Pol - Police,Seasonal w/Benefits-budget only,8288.56,1
2012,Pol - Police,Senior Police Offcer,59158.5,42
2012,Pol - Police,Senior Police Officer,60109.65,1
2012,Pol - Police,Sergeant,65215.14,13
2012,Pol - Police,Special Investigations Clerk,35603.93,1
2012,Pol - Police,Telecommunications Manager,58055.17,1
2012,Pol - Police,Telecommunications Supervisor,55320.83,3
2012,Pol - Police,Telecommunicator,43857.89,9
2012,Pol - Police,Training Coordinator,50867.6,1
2012,Risk - Risk,Assistant City Attorney,67055.52,1
2012,Risk - Risk,Director of Safety & Training,48739.64,1
2012,Risk - Risk,Risk Manager/Asst. City Attorney,63031.85,1
2012,Risk - Risk,Secretary - Risk &Legal,35411.5,1
2012,Sanitation - Sanitation,Crew Leader,39820.62,2
2012,Sanitation - Sanitation,Director,55715.12,1
2012,Sanitation - Sanitation,Laborer,25616.86,7
2012,Sanitation - Sanitation,Master Motor Equipment Operator,38062.69,15
2012,Sanitation - Sanitation,Motor Equipment Operator,16173.46,2
2012,Sanitation - Sanitation,Office Manager,34224.28,1
2012,Street - Street,Account Clerk/Emrg. Grants Coord,39696.14,1
2012,Street - Street,Administrative Assistant,3041.29,1
2012,Street - Street,Asset Clerk,30275.83,1
2012,Street - Street,Assistant Traffic Control Mgr,42187.65,1
2012,Street - Street,Crew Leader,32597.81,4
2012,Street - Street,Laborer,16682.86,25
2012,Street - Street,MEO Apprentice,39262.74,2
2012,Street - Street,Master Motor Equipment Operator,40637.79,14
2012,Street - Street,Signal Project Specialist,46223.4,1
2012,Street - Street,Street Superintendent,53688.0,2
2012,Traffic - Traffic,Laborer,2552.26,2
2012,Traffic - Traffic,Traffic Control Manager,54275.99,1
2012,Utilities Accounting - Utilities.Accounting,Accounting Manager,46655.97,1
2012,Utilities Accounting - Utilities.Accounting,Accounts Payable Clerk,41933.84,1
2012,Utilities Accounting - Utilities.Accounting,Assistant Accounts Payable Clerk,32595.44,1
2012,Utilities Accounting - Utilities.Accounting,Assistant Director-Finance,74974.15,1
2012,Utilities Accounting - Utilities.Accounting,Associate Accountant,30831.18,1
2012,Utilities Accounting - Utilities.Accounting,Finance Manager,57930.46,1
2012,Utilities Accounting - Utilities.Accounting,Managerial Accountant,35822.39,1
2012,Utilities Accounting - Utilities.Accounting,Payroll Administrator,43337.99,1
2012,Utilities Accounting - Utilities.Accounting,Web / Information Manager,54004.12,1
2012,Utilities B&C - Utilities.Billings & Collections,Accounting Clerk,37596.5,1
2012,Utilities B&C - Utilities.Billings & Collections,Accounts Receivable Coordinator,47218.55,1
2012,Utilities B&C - Utilities.Billings & Collections,Cashier,26805.12,2
2012,Utilities Blucher - Utilities.Blucher Poole WWTP,Laborer,40988.37,1
2012,Utilities Blucher - Utilities.Blucher Poole WWTP,Master Motor Equipment Operator,40698.51,1
2012,Utilities Blucher - Utilities.Blucher Poole WWTP,Specialist,13195.2,1
2012,Utilities Blucher - Utilities.Blucher Poole WWTP,Superintendent,61528.01,1
2012,Utilities Blucher - Utilities.Blucher Poole WWTP,Wastewater Plant Operator,42961.32,10
2012,Utilities Comm - Utilities.Communications,Communications Operator,23235.07,6
2012,Utilities Customer Serv - Utilities.Customer Relations,Customer Relations Coordinator,43500.91,1
2012,Utilities Customer Serv - Utilities.Customer Relations,Customer Relations Rep.,30513.91,4
2012,Utilities Dillman - Utilities.Dillman Road WWTP,Maintenance Coordinator,59926.7,1
2012,Utilities Dillman - Utilities.Dillman Road WWTP,Master Motor Equipment Operator,42863.08,1
2012,Utilities Dillman - Utilities.Dillman Road WWTP,Plant Maintenance Mechanic,44232.99,3
2012,Utilities Dillman - Utilities.Dillman Road WWTP,Secretary,30120.28,1
2012,Utilities Dillman - Utilities.Dillman Road WWTP,Solids Handling Supervisor,54899.45,1
2012,Utilities Dillman - Utilities.Dillman Road WWTP,Superintendent,65059.52,1
2012,Utilities Dillman - Utilities.Dillman Road WWTP,Wastewater Plant Operator,47516.76,11
2012,Utilities Director - Utilities.Department of the Director,Administrative Asst to Director,26988.14,1
2012,Utilities Director - Utilities.Department of the Director,Deputy Director,85859.07,1
2012,Utilities Director - Utilities.Department of the Director,Director,89648.73,1
2012,Utilities Director - Utilities.Department of the Director,Environmental Research Tech,31574.19,1
2012,Utilities Director - Utilities.Department of the Director,Intern,3160.22,14
2012,Utilities Director - Utilities.Department of the Director,Office Manager,39096.22,1
2012,Utilities Director - Utilities.Department of the Director,Pretreatment Program Inspector,25486.73,2
2012,Utilities Director - Utilities.Department of the Director,Public Affairs Specialist,43865.84,1
2012,Utilities Director - Utilities.Department of the Director,Water Quality Coordinator,49719.65,1
2012,Utilities Engineering - Utilities.Engineering,Administrative & Project Coord,46214.03,1
2012,Utilities Engineering - Utilities.Engineering,Assistant Director-Engineering,77169.49,1
2012,Utilities Engineering - Utilities.Engineering,Assistant GIS Coordinator,49419.62,1
2012,Utilities Engineering - Utilities.Engineering,Capital Projects Manager,63642.46,1
2012,Utilities Engineering - Utilities.Engineering,City Engineer,78922.49,1
2012,Utilities Engineering - Utilities.Engineering,GIS Coordinator,53093.22,1
2012,Utilities Engineering - Utilities.Engineering,Intern,670.95,2
2012,Utilities Engineering - Utilities.Engineering,Project Coordinator,42621.42,2
2012,Utilities Engineering - Utilities.Engineering,Seasonal w/Benefits-budget only,9103.5,1
2012,Utilities Engineering - Utilities.Engineering,Senior Project Coordinator,40528.91,3
2012,Utilities Engineering - Utilities.Engineering,Utilities Engineer,67949.0,2
2012,Utilities Engineering - Utilities.Engineering,Utilities Inspector,43670.53,3
2012,Utilities Engineering - Utilities.Engineering,Utilities Technician,27722.25,3
2012,Utilities Lab - Utilities.Laboratory,Chemist,56241.62,1
2012,Utilities Lab - Utilities.Laboratory,Lab Technician I,41807.84,3
2012,Utilities Meters - Utilities.Meters,Assistant Superintendent,54734.99,1
2012,Utilities Meters - Utilities.Meters,Meter Reader,36424.67,6
2012,Utilities Meters - Utilities.Meters,Meter Service Representative,27399.03,1
2012,Utilities Meters - Utilities.Meters,Meter Serviceman,40141.77,4
2012,Utilities Meters - Utilities.Meters,Meter Technician II,39456.4,1
2012,Utilities Monroe WTP - Utilities.Monroe Water Treatment Plant,Plant Maintenance Mechanic,39005.19,2
2012,Utilities Monroe WTP - Utilities.Monroe Water Treatment Plant,Plant Service Mechanic,44572.16,1
2012,Utilities Monroe WTP - Utilities.Monroe Water Treatment Plant,Superintendent,66967.74,1
2012,Utilities Monroe WTP - Utilities.Monroe Water Treatment Plant,Water Plant Operator,34838.13,13
2012,Utilities Purchasing - Utilities.Purchasing,Inventory Coordinator,35337.25,1
2012,Utilities Purchasing - Utilities.Purchasing,Laborer,19097.78,1
2012,Utilities Purchasing - Utilities.Purchasing,Purchasing Buyer,39788.99,1
2012,Utilities Purchasing - Utilities.Purchasing,Purchasing Manager,49002.97,1
2012,Utilities Purchasing - Utilities.Purchasing,Working Foreman,50426.92,1
2012,Utilities Stormwater - Utilities.Stormwater,Assistant Superintendent,54724.34,1
2012,Utilities Stormwater - Utilities.Stormwater,Laborer,38710.04,3
2012,Utilities Stormwater - Utilities.Stormwater,Lineman,40941.09,2
2012,Utilities Stormwater - Utilities.Stormwater,Master Motor Equipment Operator,36049.51,1
2012,Utilities T&D - Utilities.Transmission & Distribution,Assistant Director T&D,69000.39,1
2012,Utilities T&D - Utilities.Transmission & Distribution,Assistant Superintendent,52550.4,5
2012,Utilities T&D - Utilities.Transmission & Distribution,Engineering Field Technician,42610.94,4
2012,Utilities T&D - Utilities.Transmission & Distribution,Laborer,26442.34,17
2012,Utilities T&D - Utilities.Transmission & Distribution,Lineman,40684.5,6
2012,Utilities T&D - Utilities.Transmission & Distribution,Master Motor Equipment Operator,40402.04,8
2012,Utilities T&D - Utilities.Transmission & Distribution,Plant Maintenance Mechanic,45797.44,4
2012,Utilities T&D - Utilities.Transmission & Distribution,Secretary,35404.18,1
2012,Utilities T&D - Utilities.Transmission & Distribution,T&D Meters Oper Coordinator,38510.76,1
2012,Utilities USB - Utilities.Utility Service Board,Utilities Service Board Member,4262.7,7
2013,Animal - Animal Shelter,Animal Control Officer,46502.53,3
2013,Animal - Animal Shelter,Director,61176.18,1
2013,Animal - Animal Shelter,Kennel Worker,29842.17,9
2013,Animal - Animal Shelter,Outreach Coordinator,18463.5,1
2013,Animal - Animal Shelter,Public Safety Board Member,634.4,3
2013,Animal - Animal Shelter,Secretary,20863.15,4
2013,Animal - Animal Shelter,Shelter Manager,46185.69,1
2013,Animal - Animal Shelter,Specialist,2121.68,3
2013,Animal - Animal Shelter,Utilities Service Board Member,634.4,1
2013,Animal - Animal Shelter,Volunteer Program Director,37129.06,1
2013,CFRD - Community & Family Resources,CBVN Assistant Coordinator,45036.27,1
2013,CFRD - Community & Family Resources,CBVN Coordinator,53856.47,1
2013,CFRD - Community & Family Resources,Dir. Safe & Civil City Program,53988.23,1
2013,CFRD - Community & Family Resources,Director,79954.18,1
2013,CFRD - Community & Family Resources,Health Projects Coordinator,52620.72,1
2013,CFRD - Community & Family Resources,Intern,4989.59,4
2013,CFRD - Community & Family Resources,Latino Outreach Coordinator,16717.16,1
2013,CFRD - Community & Family Resources,Office Manager,37354.68,1
2013,CFRD - Community & Family Resources,Seasonal w/Benefits-budget only,22611.0,1
2013,CFRD - Community & Family Resources,Special Projects Coordinator,55941.1,1
2013,CFRD - Community & Family Resources,Special Projects Prog Specialist,53000.77,1
2013,CFRD - Community & Family Resources,Specialist,13985.25,1
2013,Clerk - Clerk,City Clerk,49777.0,1
2013,Clerk - Clerk,Deputy Clerk,27667.39,1
2013,Clerk - Clerk,Hearing Officer,30660.82,1
2013,Clerk - Clerk,Intern,3181.69,2
2013,Controller - Controller,Accounting & Procurement Manager,52750.03,1
2013,Controller - Controller,Accounts Coordinator,32968.5,1
2013,Controller - Controller,Controller,41975.56,2
2013,Controller - Controller,Deputy Controller,43076.82,1
2013,Controller - Controller,Grants Manager,43488.44,2
2013,Controller - Controller,Payroll Systems Manager,43633.64,2
2013,Council - Council,Council Member,14321.06,9
2013,Council - Council,Council/Administrator Attorney,72984.81,1
2013,Council - Council,Deputy Administrator/Researcher,51481.05,1
2013,Council - Council,Intern,2235.66,3
2013,ESD - Economic & Sustainable Dev,Assistant Director for the Arts,54975.6,1
2013,ESD - Economic & Sustainable Dev,Asst Dir Small Business Develop,47747.11,1
2013,ESD - Economic & Sustainable Dev,Director,79954.01,1
2013,ESD - Economic & Sustainable Dev,Intern,3552.93,3
2013,ESD - Economic & Sustainable Dev,Sustainability Coordinator,52511.24,1
2013,Eng - Engineering,Asst. Engineering Services Mgr.,52649.93,1
2013,Eng - Engineering,CAD/RMS Data Coordinator,35521.62,1
2013,Eng - Engineering,Director,80906.36,1
2013,Eng - Engineering,Engineering Field Specialist,44106.54,2
2013,Eng - Engineering,Engineering Technician-Traffic,34404.01,1
2013,Eng - Engineering,Intern,4695.0,1
2013,Eng - Engineering,Project Manager,45395.71,1
2013,Eng - Engineering,Senior Project Manager,69000.08,1
2013,Facilities - Facilities Maintenance,Downtown Specialist,32585.83,1
2013,Facilities - Facilities Maintenance,Facilities Management Coordinato,55313.92,1
2013,Facilities - Facilities Maintenance,Maintenance/Custodian,36904.5,1
2013,Facilities - Facilities Maintenance,Specialist,15577.5,1
2013,Fire - Fire,Battalion Chief,66457.95,4
2013,Fire - Fire,Captain,57439.75,20
2013,Fire - Fire,Chief,86361.9,1
2013,Fire - Fire,Deputy Chief,52612.95,2
2013,Fire - Fire,Fire Inspection Officer,55202.56,1
2013,Fire - Fire,Fire Prevention Officer,60971.26,1
2013,Fire - Fire,Firefighter 1st Class,56016.23,51
2013,Fire - Fire,Probationary Firefighter,37620.28,6
2013,Fire - Fire,Secretary,34505.18,1
2013,Fire - Fire,Sergeant,57544.17,25
2013,Fleet - Fleet Maintenance,Apprentice Master Mechanic,38952.0,2
2013,Fleet - Fleet Maintenance,Fleet Office Clerk/CS Rep,40064.47,1
2013,Fleet - Fleet Maintenance,Inventory Coordinator,36999.97,1
2013,Fleet - Fleet Maintenance,Manager,58795.7,1
2013,Fleet - Fleet Maintenance,Master Mechanic,46430.77,4
2013,Fleet - Fleet Maintenance,Specialist,6060.0,1
2013,HAND - Housing & Neighborhood Dev,Assistant Director,47054.81,1
2013,HAND - Housing & Neighborhood Dev,Director,71296.5,2
2013,HAND - Housing & Neighborhood Dev,Intern,395.0,1
2013,HAND - Housing & Neighborhood Dev,Neighborhood Compliance Officer,34327.76,6
2013,HAND - Housing & Neighborhood Dev,Program Assistant/Office Manager,48868.43,1
2013,HAND - Housing & Neighborhood Dev,Program Manager,47872.38,4
2013,HAND - Housing & Neighborhood Dev,Secretary,25687.62,5
2013,HR - Human Resources,Administrative Assistant,7100.73,1
2013,HR - Human Resources,Assistant Director,62535.05,1
2013,HR - Human Resources,Benefits Manager/HR Generalist,52500.02,1
2013,HR - Human Resources,Director,85823.5,1
2013,HR - Human Resources,Intern,3325.59,3
2013,HR - Human Resources,Manager of WC & HR Admin ,44880.28,1
2013,HR - Human Resources,Specialist,181.25,1
2013,ITS - Information & Technology Service,Application Developer,60109.91,1
2013,ITS - Information & Technology Service,Assistant Director,73619.12,1
2013,ITS - Information & Technology Service,Director,79954.25,1
2013,ITS - Information & Technology Service,GIS Manager,64256.81,1
2013,ITS - Information & Technology Service,GIS Specialist,30342.75,2
2013,ITS - Information & Technology Service,Intern,2268.42,3
2013,ITS - Information & Technology Service,Office Coord/Inventory Speclst,46066.84,1
2013,ITS - Information & Technology Service,Systems & App Manager,65156.46,1
2013,ITS - Information & Technology Service,Systems Administrator,55601.87,1
2013,ITS - Information & Technology Service,Technology Support Manager,60377.58,1
2013,ITS - Information & Technology Service,Technology Support Specialist,35766.18,5
2013,ITS - Information & Technology Service,Training Manager,41452.86,1
2013,ITS - Information & Technology Service,User Interface Specialist,43215.15,1
2013,ITS - Information & Technology Service,Web App Developer,62947.77,1
2013,Legal - Legal,Assistant City Attorney,59190.74,3
2013,Legal - Legal,City Attorney,79154.98,1
2013,Legal - Legal,Corporation Counsel,87797.4,1
2013,Legal - Legal,Human Rights Director/Attorney,73691.58,1
2013,Legal - Legal,Legal Secretary/Paralegal,41464.37,1
2013,Legal - Legal,Secretary - Human Rights & Legal,38829.81,1
2013,OOTM - Office of the Mayor,Communications Director,68673.91,1
2013,OOTM - Office of the Mayor,Deputy Mayor,63926.59,1
2013,OOTM - Office of the Mayor,Executive Assistant,44671.69,1
2013,OOTM - Office of the Mayor,Intern,1197.68,6
2013,OOTM - Office of the Mayor,Mayor,95464.2,1
2013,PW - Public Works,Accounting Clerk,34570.03,1
2013,PW - Public Works,Accounting Manager,43235.23,1
2013,PW - Public Works,Asst Director Finance & CR,68539.71,1
2013,PW - Public Works,Director,85044.45,1
2013,PW - Public Works,Public Works Board Member,2091.96,3
2013,PW - Public Works,Special Projects Manager,53066.79,1
2013,Parking - Parking Enforcement,Crossing Guard,3404.39,19
2013,Parking - Parking Enforcement,Customer Service Rep,35725.38,3
2013,Parking - Parking Enforcement,Parking Enforcement Manager,53603.64,1
2013,Parking - Parking Enforcement,Parking Enforcement Officer,27636.08,11
2013,Parking - Parking Enforcement,Team Leader,36808.67,1
2013,Parks - Parks & Recreation,Administrator,86931.51,1
2013,Parks - Parks & Recreation,Adult/Family Services Manager,44407.38,1
2013,Parks - Parks & Recreation,Adult/Youth Sports Manager,55111.57,1
2013,Parks - Parks & Recreation,Aquatics/Sports Program Coord,43303.03,1
2013,Parks - Parks & Recreation,Attendant,1759.98,80
